1. Что такое java?;Язык разметки;Язык програмирования;Человечиский язык;Язык програмирования
2. Как коментировать в java?;#;\\;//;//
3. К какому типу языков програмирования относитися java?;Процедурный;Объектно-ориентированный язык;Структурный;Объектно-ориентированный язык
4. Кто создал java?;Джеймс Гослинг;Гвидо ван Россум;Бьёрн Страуструп;Джеймс Гослинг
5. Когда был официальный выпуск java 1.0?;1996;1995;1994;1996
6. Что такое Sring?;Тип данных символ;Тип данных целые числа;Тип данных строка;Тип данных строка
7. Что делает эта строка - Scanner scanner = new Scanner(System.In);Создает объект класса Scanner на который указывает переменная scanner;Создает класс Scanner;Оба ответа не правильные;Создает объект класса Scanner на который указывает переменная scanner
8. Что такое for?;Оператор;Массив;Цикл;Цикл
9. Какая функция выводит что-либо в консоль?;print();log();System.out.print();System.out.print()
10. Что такое int?;Класс;Объект;Тип данных;Тип данных
11. Что такое public?;Ксласс;Модификатор;Тип данных;Модификатор
12. Какой из перечиленных дынных является double?;"Hello World";2147483647;2147483647.132;2147483647.132
13. Какой из перечисленных данных является char?;'a';"";"Hello World";'a'
14. Что делает Random?;Генерирует случайные значения;Позволяет вводить значения пользователю;Читает csv файл;Генерирует случайные значения
15. Что такое икримент?;Операция которая увеличивает переменную на 1;Операция которая уменьшает переменную на 1;Нет правильного ответа;Операция которая увеличивает переменную на 1
16. Сколько битов представляет тип данных long?;32;16;64;64
17. Сколько битв представляет тип данных int?;32;64;128;32
18. Где записана правильная переменная?;char ch = "a";int i = 4;double = 4.6;int i = 4
19. Чем отличаются println и print?;print выводит в одну строку, а println выводит с новой строки;println выводит в одну строку, а print выводит с новой строки;ничем;print выводит в одну строку, а println выводит с новой строки